Threshold,Entity,Search Type,Accuracy
0.2,Tool,FlexSearch,0.06896551724137934
0.2,Goal,FlexSearch,0.3571428571428572
0.2,Post,FlexSearch,0.008849557522123908
0.5,Tool,FlexSearch,0.08247422680412375
0.5,Goal,FlexSearch,0.0
0.5,Post,FlexSearch,0.011235955056179803
0.7,Tool,FlexSearch,0.125
0.7,Goal,FlexSearch,0.0
0.7,Post,FlexSearch,0.024691358024691357
0.8,Tool,FlexSearch,0.07272727272727275
0.8,Goal,FlexSearch,0.0
0.8,Post,FlexSearch,0.05263157894736836
0.2,Tool,SemanticSearch,0.05084745762711862
0.2,Goal,SemanticSearch,0.39534883720930236
0.2,Post,SemanticSearch,0.03738317757009346
0.5,Tool,SemanticSearch,0.05084745762711862
0.5,Goal,SemanticSearch,0.39534883720930236
0.5,Post,SemanticSearch,0.03738317757009346
0.7,Tool,SemanticSearch,0.05084745762711862
0.7,Goal,SemanticSearch,0.39534883720930236
0.7,Post,SemanticSearch,0.03738317757009346
0.8,Tool,SemanticSearch,0.05084745762711862
0.8,Goal,SemanticSearch,0.45333333333333337
0.8,Post,SemanticSearch,0.03738317757009346
