Threshold,Entity,Precision,Recall,F1 Score
0.2,Tool,0.014787430683918669,1.0,0.029143897996357013
0.2,Goal,0.21739130434782608,0.12195121951219512,0.15625
0.2,Post,0.052346570397111915,1.0,0.09948542024013722
0.5,Tool,0.019184652278177457,0.8888888888888888,0.03755868544600939
0.5,Goal,0.0,0.0,0.0
0.5,Post,0.0630841121495327,0.9,0.11790393013100436
0.7,Tool,0.03468208092485549,0.1935483870967742,0.058823529411764705
0.7,Goal,0.0,0.0,0.0
0.7,Post,0.11688311688311688,0.4864864864864865,0.18848167539267016
0.8,Tool,0.020202020202020204,0.05555555555555555,0.02962962962962963
0.8,Goal,0.0,0.0,0.0
0.8,Post,0.1686746987951807,0.34146341463414637,0.22580645161290322
