Threshold,Entity,Precision,Recall,F1 Score
0.2,Tool,0.02608695652173913,1.0,0.05084745762711865
0.2,Goal,0.2463768115942029,1.0,0.3953488372093023
0.2,Post,0.01904761904761905,1.0,0.037383177570093455
0.5,Tool,0.02608695652173913,1.0,0.05084745762711865
0.5,Goal,0.2463768115942029,1.0,0.3953488372093023
0.5,Post,0.01904761904761905,1.0,0.037383177570093455
0.7,Tool,0.02608695652173913,1.0,0.05084745762711865
0.7,Goal,0.2463768115942029,1.0,0.3953488372093023
0.7,Post,0.01904761904761905,1.0,0.037383177570093455
0.8,Tool,0.02608695652173913,1.0,0.05084745762711865
0.8,Goal,0.29310344827586204,1.0,0.4533333333333333
0.8,Post,0.01904761904761905,1.0,0.037383177570093455
